European

-42624.74189	-51.85534548	0.146358023	2.667855846	3.285940413	4.744438451	0.629198235	1.340245601	1
37773.8376	-90.23775818	3.525770097	3.999964784	3.659268708	5.129959638	-0.696440787	2.522458053	1
90546.85624	-62.87530743	0.568662563	0.279317881	0.204524863	-1.269005625	-0.335182587	-1.052542569	0
58871.78747	-3.787269852	5.004331432	7.190077349	5.7371169	6.782218163	-1.990564432	3.807576905	1
35087.16348	83.16929464	3.555735583	0.010542391	2.571816069	4.910117963	-1.517718855	1.243193516	1
17844.85525	-78.49421278	1.952744417	-0.879237028	0.641535104	-1.196432749	1.934311013	0.196627251	0

Sparkov

2019	7	2	1964	11	17	12	7.92	6441	5438	0
2019	3	16	1974	2	15	6	71.76	14778	1453	0
2019	1	8	1999	6	19	8	868.0752474	23106	976	1
2020	2	15	1969	9	15	3	39.67	79759	23	0
2019	7	29	1956	5	2	8	938.0405013	14707	239	1
2020	3	11	1976	2	26	8	94	82514	1645	0
2019	4	18	1934	6	23	1	36.15	34112	276002	0
2020	5	19	1987	2	14	7	737.2540007	37663	87124	1
2020	3	24	1934	10	6	11	1046.151526	29661	5648	1
2019	3	11	1985	3	31	11	892.2223471	63010	35439	1
2020	3	14	1982	1	16	4	330.1582817	31567	782	1
2019	7	2	1945	12	21	7	814.168887	96038	589	1
